date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:41	404344/404344	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/sdk.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/sdk.js.download	(from )
17:00:41	1430/1430	---M--	200	added ('OK')	image/png	etag:%22bfce0f43ba5e560047311e56020511f8%22	https://english.cdn.zeenews.com/images/logo/zeenewslogo_favico_32x32.png	D:/web/Vikramnantha/english.cdn.zeenews.com/images/logo/zeenewslogo_favico_32x32.png	(from )
17:00:41	3224/3224	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/sdk.js(1).download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/sdk.js(1).download	(from )
17:00:41	43/43	---M--	200	added ('OK')	image/gif	etag:%22df3e567d6f16d040326c7a0ea29a4f41%22	https://english.cdn.zeenews.com/images/spacer.gif	D:/web/Vikramnantha/english.cdn.zeenews.com/images/spacer.gif	(from )
17:00:41	49879/49879	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2004%20May%202020%2017:23:08%20GMT	http://delivery.adrecover.com/39319/adRecover.js?ts=1564116778088	D:/web/Vikramnantha/delivery.adrecover.com/39319/adRecover5870.js	(from )
17:00:41	45892/45892	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/analytics.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/analytics.js.download	(from )
17:00:42	3930/3930	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/load.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/load.js.download	(from )
17:00:42	254/254	---M--	200	added ('OK')	image/png	etag:%22dfa7b52c86e56bd67fa4002f6ed19854%22	http://cdn.taboola.com/libtrc/static/thumbnails/f539211219b796ffbb49949997c764f0.png	D:/web/Vikramnantha/cdn.taboola.com/libtrc/static/thumbnails/f539211219b796ffbb49949997c764f0.png	(from )
17:00:42	242549/242549	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/prebid-zee3.14.0.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/prebid-zee3.14.0.js.download	(from )
17:00:42	73297/73297	--FM--	200	added ('OK')	application/download		file:///C:/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/newsroom.js.download	D:/web/Vikramnantha/file/C_/Users/Melvin%20Michael/Pictures/Vikram%20Nantha/Interpol%20issues%20Blue%20Corner%20notice%20against%20fugitive%20godman%20Nithyananda%20_%20India%20News%20_%20Zee%20News_files/newsroom.js.download	(from )
